seri;model;titles;year;km;color;prices;date;location
Taycan;Taycan;RAGAZZİ 2021 PORSCHE TAYCAN CHRONO+SOĞUT­MA+BOSE+YAN YOLCU EKRAN;2021;10.000;Mavi;5.450.000 TL;"19 Aralık
2022";"İzmir
Bornova"
911;Carrera GTS;DÜŞÜK KM FABRİKA AYARINDA GTS;2011;29.138;Beyaz;4.940.000 TL;"18 Aralık
2022";"İstanbul
Sarıyer"
Panamera;Panamera Diesel;ÇELİK MOTORS PORSCHE PANAMERA DİZEL;2012;265.000;Beyaz;2.330.000 TL;"18 Aralık
2022";"Sakarya
Akyazı"
911;Carrera 4S;2025 DOĞUŞ GARANTİLİ 2014 SON ATMOSFERİK MOTORLU CARRERA 4S;2013;38.500;Beyaz;6.900.000 TL;"18 Aralık
2022";"Kocaeli
Gebze"
Taycan;4S Performance Plus;2021 TAYCAN 4S PP 571HP BAYİ İÇ KIRMIZI FULL OPSİYON;2021;49.720;Beyaz;5.400.000 TL;"18 Aralık
2022";"İstanbul
Başakşehir"
911;Carrera 4 GTS;ZENO MOTORS 2022 Carrera 4GTS Cabrio. SATIŞA HAZIR...;2022;6.010;Siyah;14.250.000 TL;"18 Aralık
2022";"İstanbul
Küçükçekmece"
911;Carrera S;'X-CLUSIVE' 2013 PORSCHE CARRERA S - TAM ÖTV;2013;70.000;Siyah;6.000.000 TL;"18 Aralık
2022";"İstanbul
Sarıyer"
Panamera;Panamera Diesel;TRAMERSİZ DOĞUŞ BAYİ ÇIKIŞLI;2014;167.000;Beyaz;3.435.000 TL;"18 Aralık
2022";"Konya
Selçuklu"
Boxster;S;ELEGANCE CARS 2011 PORSCHE BOXSTER S BAYİ CHRONO PAKET PDK;2011;40.000;Kahverengi;1.850.000 TL;"18 Aralık
2022";"İstanbul
Beşiktaş"
Panamera;Panamera Diesel;2012 PANAMERA AİRMATİC-MAKAM PERDE-K.ISITMA,SO ĞUTMA-BOSE-PUSULA;2012;97.000;Beyaz;2.580.000 TL;"18 Aralık
2022";"Kocaeli
İzmit"
Panamera;Panamera 4 Platinum Edition;PAR AUTO'DAN 2022 BAYİ PANAMERA4 BOSE+SĞTM+21JNT %18KDV FATURALI;2022;7.800;Siyah;10.900.000 TL;"18 Aralık
2022";"Samsun
Tekkeköy"
Panamera;Panamera Diesel;2012 PORSCHE PANAMERA 3.0 DİESEL;2012;170.000;Beyaz;2.000.000 TL;"18 Aralık
2022";"İstanbul
Sultanbeyli"
